,0,1,2
0,XM_015585363.1,2.70,1092.1
1,XM_006906742.2,3.63,44.2
2,XM_011358641.1,2.06,2.78
3,XM_011358640.1,3.66,1.02
4,XM_011358638.1,4.46,0.45
